Property,text,Unnamed: 2,translated_Property,translated_text
Objekt-ID,from Fazleh,,Object ID,From Fazleh
Titel,Zwei Zigeuner,,title,Two gypsies
Künstler:in/Autor:in,"Kunffy, Lajos (GND: 132187388)",,Artist: In/Author: In,"Kunffy, Lajos (GND: 132187388)"
Entstehungsjahr,X,,Year of origin,X
Ort der Entstehung/Nutzung,Somogytúr (Ungarn),,Place of origin/use,Somogytúr (Hungary)
Feldgattung,Genre- und Alltagsszenen,,Field genre,Genre and everyday scenes
Objekttyp / Medium / Technik,Öl auf Leinwand (Maße, 73 × 92 cm),Object type / medium / technology,Oil on canvas (dimensions
Motivcluster,"""Zigeuner"" als romantisiertes, exotisiertes Fremdbild; Armut / einfache Kleidung als Symbol für Ursprünglichkeit ; Ungebundenheit / Freiheit angedeutet durch die lockere, raue Erscheinung ; Wilde Haare und Bärte als Zeichen von „Naturverbundenheit“ oder „Wildheit“ ; Ernster, stolzer Blick als Darstellung von „ungezähmtem Charakter“ ; Der neutrale Hintergrund entindividualisiert die dargestellten Personen noch stärker. Sie erscheinen als ""Typen"", nicht als reale Individuen mit konkretem Lebensraum.",,Motif cluster,"""Gypsies"" as a romanticized, exotic foreign image; Poverty / simple clothing as a symbol of originality; Unboundness / freedom indicated by the loose, rough appearance; Wild hair and beard as a sign of ""nature connection"" or ""wildness""; Serious, proud look as a representation of ""unambessed character""; The neutral background is even more detailed to the people depicted. They appear as ""types"", not as real individuals with a specific habitat."
Narrativtyp,"Nomadentum und Naturverbundenheit: Durch Kleidung und Haartracht werden die Männer mit ""ursprünglichen"" Lebensformen verbunden.

Mystifizierte Fremdheit: Die dargestellten Merkmale wurden häufig verwendet, um Romnja und Sintizze als „nicht zivilisiert“ oder „andersartig“ zu kennzeichnen.

Männliche Stärke und Wildheit – ein wiederkehrendes Motiv in Kunstwerken, die sich mit dem antiziganistischen Blick auf „Zigeuner“ beschäftigten.",,Narrative type,"Nomadism and closeness to nature: Clothing and hair costumes are associated with ""original"" ways of life.

Mystified strangeness: The characteristics shown were often used to mark Romnja and Sintizze as ""not civilized"" or ""differently"".

Male strength and wildness - a recurring motif in works of art that dealt with the antig."
Historischer Zusammenhang,"Entstehung: frühes 20. Jahrhundert, kurz vor dem Ersten Weltkrieg
Ungarn als Teil der Donaumonarchie mit starken ethnischen Spannungen
Zunehmende politische Kontrolle und Militarisierung (z. B. Haarschnitt der Rekruten ab 1914 als Disziplinierungsmaßnahme) Stigmatisierung und Marginalisierung von Roma-Gruppen im gesamten europäischen Raum Beginn einer staatlich regulierten Rassifizierung  Ermittlung der Daten…",,Historical context,"Development: early 20th century, shortly before the First World War
Hungary as part of the Danube monarchy with strong ethnic tensions
Increasing political control and militarization (e.g. haircut of recruits from 1914 as a discipline measure) Stigmatization and marginalization of Roma groups in the entire European area The beginning of a state-regulated racial Determination of data ..."
Antiziganistische / Stigmatisierende Elemente,"
Das Gemälde reproduziert stereotype Vorstellungen von Roma und Sinti durch den Titel „Zwei Zigeuner“, die Betonung einer wilden äußeren Erscheinung sowie die Entkontextualisierung im neutralen Hintergrund. Es typisiert die Dargestellten und romantisiert Armut, wodurch individuelle Lebensrealitäten unsichtbar bleiben.",,Anti -Zigan / stigmatizing elements,"The painting reproduces stereotypical ideas of Roma and Sinti by the title ""Two Gypsies"", the emphasis on a wildly external appearance and the discontextualization in the neutral background. It types the presented and romanticized poverty, which means that individual life realities remain invisible."
Agency,"Die Männer erscheinen als passive Objekte eines fremden Blicks, ohne erkennbare Handlung oder Stimme. Kunffys Erzählperspektive betont seine Deutungsmacht. Die ausgestreckte Hand könnte als einziges Zeichen individueller Agency interpretiert werden – zwischen menschlicher Nähe und exotisierender Projektion. In antiziganistischem Kontext vermittelt sie Spannung zwischen Identifikation und Widerstand und verweist auf historische Erfahrungen von Entmenschlichung und kolonialer Kontrolle. Passivität erscheint so als mögliche Form von Agency unter Bedingungen von Trauma.Ermittlung der Namen (ggf. mit Lebensdaten) der abgebildeten Roma-Männer – Rechercheaufgabe im Nachlass von Kunffy sowie im Stadtarchiv. ",,Agent,"The men appear as passive objects of a foreign look, without recognizable plot or voice. Kunffy's narrative perspective emphasizes his power of interpretation. The outstretched hand could be interpreted as the only sign of individual agency - between human closeness and exotic projection. In anti -Procetite context, it conveys tension between identification and resistance and refers to historical experiences of dehumanization and colonial control. Passivity appears as a possible form of agency under the conditions of trauma."
Transmediale Beziehungen,"Werke von Künstlern wie József Rippl-Rónai (https://d-nb.info/gnd/118601210 ) die sich mit ähnlichen Themen im osteuropäischen oder bürgerlichen Kontext auseinandersetzen

Ethnologische-Fotografien und Reiseberichte über Roma-Gruppen um 1900 Ermittlung der Daten…

Exotismus- und Völkerkundesammlungen aus dem 19. Jh. Ermittlung der Daten…",,Transmedial relationships,"Works by artists such as József Rippl-Rónai (https://d-nb.info/gnd/118601210) that deal with similar topics in the Eastern European or bourgeois context

Ethnological photographs and travel reports about Roma groups around 1900 Determination of the data ...

Exotism and Völkerkundeskunftenkungen from the 19th century. Determination of the data ..."
Narrativwandel bei Medienwechsel,Ermittlung der Daten…,,Narrative change in media change,Determination of the data ...
Reproduktionsweg,Ermittlung der Daten…,,Reproduction path,Determination of the data ...
Sammlung / Archiv / Fundort,https://en.kunffy.art/archiv,,Collection / archive / location,https://en.kunffy.art/archiv
Provenienz,Ermittlung der Daten…,,Provenance,Determination of the data ...
Literatur,"
• Roma & Sinti : ""Zigeuner-Darstellungen"" der Moderne ; [Katalog zur Ausstellung Roma & Sinti. ""Zigeuner-Darstellungen"" der Moderne, 17. Juni bis 2. September 2007 ; Kooperationsprojekt der Kunsthalle Krems mit dem Ethnographischen Museum Budapest] 1. Aufl. Krems an der Donau: Kunsthalle,2007                                                                                                                                         •  Black Bodies, White Bodies –
‘Gypsy’ Images in Central Europe at the Turn
of the Twentieth Century (1880–1920) Éva Kovács In: Vol. 3. No. 2. 2020, 72–94 • DOI: 10.29098/crs.v3i2.75
• Kunffy Lajos: Visszaemlékezéseim (szerk.: Horváth Kános). Kaposvár, Somogy Mezei Múzeumok Igazgatósága 2006, 108-109.   (Lajos Kunffy: Meine Erinnerungen (Hrsg.: Kános Horváth) Kaposvár, Somogy Mezei Múzeumok Direktgatósága 2006, 108-109.)      https://d-nb.info/98583935X                       ",,literature,"• Roma & Sinti: ""Gypsy representations"" of modernity; [Catalog for the Roma & Sinti exhibition. ""Gypsy representations"" of modernity, June 17 to September 2, 2007; Cooperation project of the Kunsthalle Krems with the Ethnographic Museum Budapest] 1st edition Krems on the Danube: Kunsthalle, 2007 • Black Bodies, White Bodies -
‘Gypsy’ Images in Central Europe at the turn
of the Twentieth Century (1880–1920) Éva Kovács in: Vol. 3. No. 2. 2020, 72–94 • DOI: 10.29098/CRS.V3I2.75
• Kunffy Lajos: Visszaemlékezésim (Scot.: Horváth Kános). Kaposvár, Somogy Meze Múzeumok Igazgatósága 2006, 108-109.   (Lajos Kunffy: My Memories (ed.: Kános Horváth) Kaposvár, Somogy Meze Múzeumok Directgatósága 2006, 108-109.) Https://d-nb.info/98583935x"
Ausstellungen / Aufführungen / Veröffentlichungen,"Gerhard Baumgartner, Ausstellung Roma & Sinti. Zigeuner-Darstellungen der Moderne (2007, Krems an der Donau) und Kunsthalle Krems GND https://d-nb.info/98583935X",,Exhibitions / performances / publications,"Gerhard Baumgartner, Roma & Sinti exhibition. Gypsy representations of modernity (2007, Krems on the Danube) and Kunsthalle Krems Gnd https://d-nb.info/98583935x"
Beschriftung,"Ermittlung der Daten: Signatur, Vorderseite (links oben): ?
Aufkleber, Rückseite, oben links, auf dem Rahmen: ?",,lettering,"Determination of the data: signature, front (top left) :?
Sticker, back, top left, on the frame :?"
Rechte / Lizenzen,"Lajos Kunffy- Memorial-Museum, Somogytúr, Ungarn",,Right / licenses,"Lajos Kunffy Memorial Museum, Somogytúr, Hungary"
Digitalisat-Link/Pfad,X,,Digitized link/path,X
Metadaten-Status,X,,Metadata status,X
Erfasst von,Andre Raatzsch,,Calculated by,Andre Raatzsch
Erfassungsdatum,4/28/2025,,Detection date,4/28/2025
Kommentar / Anmerkung,X,,Comment / note,X
